id,name,status,feat_type,latitude,longitude,reo,maybe,other
15040,15 Mile Creek,Official Approved,Stream,-40.798250,172.514222,0,0,2
54362,17 Mile Creek,Official Approved,Stream,-40.807972,172.470500,0,0,2
15042,1st Basin,Unofficial Recorded,Basin,-41.838556,172.810500,0,0,2
15043,1st Staircase,Unofficial Recorded,Place,-38.450361,174.642722,0,0,2
15044,2nd Basin,Unofficial Recorded,Basin,-41.850472,172.795750,0,0,2
15045,2nd Staircase,Unofficial Recorded,Place,-38.416889,174.637333,0,0,2
15046,3rd Basin,Unofficial Recorded,Basin,-41.860000,172.783472,0,0,2
15047,45th Parallel marker,Unofficial Recorded,Site,-44.998306,171.049278,0,0,3
15048,4th Basin,Unofficial Recorded,Basin,-41.875417,172.770417,0,0,2
15049,5 Mile Creek,Unofficial Recorded,Stream,-41.746722,172.908778,0,0,2
7552,A'Deanes Bush Scenic Reserve,Official Validated,scenic reserve,-39.931389,176.300000,0,0,4
15050,A.J. Stream,Unofficial Recorded,Stream,-41.640694,171.919639,0,2,1
15051,A1 Creek,Unofficial Recorded,Stream,-42.215083,171.893361,0,1,1
15052,Aan River,Unofficial Recorded,Stream,-46.202139,166.981417,0,0,2
15053,Aaron Creek,Official Approved,Stream,-41.040645,172.825871,0,0,2
15054,Abaft Gully,Unofficial Recorded,Valley,-44.034639,168.979639,0,0,2
15055,Abandon Brook,Unofficial Recorded,Stream,-44.067778,169.001444,0,0,2
15056,Abbassia Camp,Unofficial Recorded,Place,-39.440944,175.674250,0,0,2
54671,Abbess,Official Assigned,Hill,-43.674281,170.290411,0,0,1
15057,Abbey Caves,Unofficial Recorded,Cave,-35.709389,174.357583,0,0,2
54672,Abbey Pass,Official Assigned,Pass,-43.664527,170.286912,0,0,2
15058,Abbey Rocks,Unofficial Recorded,Rock,-43.668861,169.334639,0,0,2
54673,Abbot,Official Assigned,Hill,-43.665849,170.292691,0,0,1
15059,Abbots Creek,Unofficial Recorded,Stream,-41.106333,175.267389,0,0,2
7546,Abbots Creek Recreation Reserve,Official Validated,recreation reserve,-45.900556,170.412222,0,0,4
15060,Abbotsford,Unofficial Recorded,Suburb,-45.897472,170.424861,0,0,1
15061,Abbott Passage,Unofficial Recorded,Channel,-46.892194,168.269028,0,0,2
