name,status,feat_type,reo,x,y
15 Mile Creek,Official Approved,Stream,0,172.514222,-40.79825
17 Mile Creek,Official Approved,Stream,0,172.4705,-40.807972
1st Basin,Unofficial Recorded,Basin,0,172.8105,-41.838556
1st Staircase,Unofficial Recorded,Place,0,174.642722,-38.450361
2nd Basin,Unofficial Recorded,Basin,0,172.79575,-41.850472
2nd Staircase,Unofficial Recorded,Place,0,174.637333,-38.416889
3rd Basin,Unofficial Recorded,Basin,0,172.783472,-41.86
45th Parallel marker,Unofficial Recorded,Site,0,171.049278,-44.998306
4th Basin,Unofficial Recorded,Basin,0,172.770417,-41.875417
5 Mile Creek,Unofficial Recorded,Stream,0,172.908778,-41.746722
A'Deanes Bush Scenic Reserve,Official Validated,scenic reserve,0,176.3,-39.931389
A.J. Stream,Unofficial Recorded,Stream,0,171.919639,-41.640694
A1 Creek,Unofficial Recorded,Stream,0,171.893361,-42.215083
ABC Cave,Official Assigned,Cave,0,170.456168,-45.700387
Aan River,Unofficial Recorded,Stream,0,166.981417,-46.202139
Aaron Creek,Official Approved,Stream,0,172.825871,-41.040645
Abaft Gully,Unofficial Recorded,Valley,0,168.979639,-44.034639
Abandon Brook,Unofficial Recorded,Stream,0,169.001444,-44.067778
Abbassia Camp,Unofficial Recorded,Place,0,175.67425,-39.440944
Abbess,Official Assigned,Hill,0,170.290411,-43.674281
Abbey Caves,Unofficial Recorded,Cave,0,174.357583,-35.709389
Abbey Pass,Official Assigned,Pass,0,170.286912,-43.664527
Abbey Rocks,Unofficial Recorded,Rock,0,169.334639,-43.668861
Abbot,Official Assigned,Hill,0,170.292691,-43.665849
Abbots Creek,Unofficial Recorded,Stream,0,175.267389,-41.106333
Abbots Creek Recreation Reserve,Official Validated,recreation reserve,0,170.412222,-45.900556
Abbotsford,Unofficial Recorded,Suburb,0,170.424861,-45.897472
Abbott Passage,Unofficial Recorded,Channel,0,168.269028,-46.892194
Abbotts Hill,Unofficial Recorded,Hill,0,170.422917,-45.866778
Abel Glacier,Official Assigned,Glacier,0,170.6381,-43.329576
Abel Head,Unofficial Recorded,Point,0,173.057083,-40.857306
Abel Head,Unofficial Replaced,Point,0,172.736504,-40.529036
Abel Janszoon Glacier,Official Assigned,Glacier,0,170.152539,-43.554196
Abel Lake,Official Assigned,Lake,0,170.638249,-43.33927
Abel Tasman Monument,Official Approved,Site,0,172.903112,-40.820933
Abel Tasman National Park,Official Assigned,Crown Protected Area,0,172.966111,-40.91
Abel Tasman Point,Official Assigned,Point,0,172.921583,-40.800035
Abel Tasman Roadstead,Official Assigned,Channel,0,174.019604,-40.777632
Abel Tasman Scenic Reserve,Official Validated,scenic reserve,0,173.008864,-40.865099
Abernethys Creek,Unofficial Recorded,Stream,0,170.662056,-45.781611
Abes Gully,Unofficial Recorded,Valley,0,171.441722,-42.478139
Abners Head,Unofficial Recorded,Hill,0,171.976889,-43.404583
Abrahams Bay,Unofficial Recorded,Bay,0,168.029194,-46.944222
Abrahams Bosom,Unofficial Recorded,Bay,0,168.168361,-47.061722
Abruzzi Glacier,Official Assigned,Glacier,0,168.39209,-44.504094
Abseil Peak,Official Assigned,Hill,0,169.677636,-44.060919
Absolum Creek,Unofficial Recorded,Stream,0,171.95025,-42.313944
Abut Head,Unofficial Recorded,Point,0,170.263361,-43.108611
